matricula;periodo;creditosPeriodo;puntosPeriodo;indicePeriodo;indiceAcumulado;condicionAcadActual;
20121917;20132014-2;21;50;2.4;2.6;Condiciónacadémicanormal;
20121917;20142015-2;12;32;2.7;2.5;Condiciónacadémicanovaría;
20121917;20132014-2;13;13;1;2.2;Condiciónacadémicanormal;
20121917;20122013-2;17;59;3.5;3.5;Condiciónacadémicanormal;
20121917;20162017-2;11;15;1.4;2.1;Condiciónacadémicanovaría;
20121917;20152016-2;15;21;1.4;2.3;;
20121917;20172018-2;14;22;1.6;2.1;;
20121917;20142015-2;13;9;0.7;2.3;Condiciónacadémicanormal;
20121917;20142015-2;12;32;2.7;2.5;Condiciónacadémicanovaría;
20121917;20152016-2;15;21;1.4;2.3;;
20121917;20162017-2;19;31;1.6;2.2;Condiciónacadémicanormal;
20121917;20142015-2;13;9;0.7;2.3;Condiciónacadémicanormal;
20121917;20162017-2;10;25;2.5;2.2;Condiciónacadémicanormal;
20121917;20162017-2;11;15;1.4;2.1;Condiciónacadémicanovaría;
20121917;20122013-2;17;59;3.5;3.5;Condiciónacadémicanormal;
20121917;20152016-2;10;7;0.7;2.1;Condiciónacadémicanovaría;
20121917;20162017-2;10;25;2.5;2.2;Condiciónacadémicanormal;
20121917;20162017-2;19;31;1.6;2.2;Condiciónacadémicanormal;
20121917;20172018-2;14;22;1.6;2.1;;
20121917;20142015-2;14;42;3;2.6;Condiciónacadémicanormal;
20121917;20132014-2;7;25;3.6;2.5;Condiciónacadémicanovaría;
20121917;20152016-2;15;21;1.4;2.3;;
20121917;20122013-2;11;16;1.5;2.7;Condiciónacadémicanovaría;
20121917;20152016-2;10;7;0.7;2.1;Condiciónacadémicanovaría;
20121917;20152016-2;15;26;1.7;2.4;;
20121917;20122013-2;17;59;3.5;3.5;Condiciónacadémicanormal;
20121917;20152016-2;15;26;1.7;2.4;;
20121917;20162017-2;19;31;1.6;2.2;Condiciónacadémicanormal;
20121917;20142015-2;14;42;3;2.6;Condiciónacadémicanormal;
20121917;20122013-2;11;16;1.5;2.7;Condiciónacadémicanovaría;
20121917;20132014-2;7;25;3.6;2.5;Condiciónacadémicanovaría;
20121917;20162017-2;10;25;2.5;2.2;Condiciónacadémicanormal;
20121917;20122013-2;11;16;1.5;2.7;Condiciónacadémicanovaría;
20121917;20132014-2;7;25;3.6;2.5;Condiciónacadémicanovaría;
20121917;20142015-2;14;42;3;2.6;Condiciónacadémicanormal;
20121917;20152016-2;15;21;1.4;2.3;;
20121917;20132014-2;13;13;1;2.2;Condiciónacadémicanormal;
20121917;20152016-2;15;26;1.7;2.4;;
20121917;20162017-2;19;31;1.6;2.2;Condiciónacadémicanormal;
20121917;20132014-2;21;50;2.4;2.6;Condiciónacadémicanormal;
20121917;20152016-2;10;7;0.7;2.1;Condiciónacadémicanovaría;
20121917;20172018-2;17;31;1.8;2.1;;
20121917;20132014-2;21;50;2.4;2.6;Condiciónacadémicanormal;
20121917;20172018-2;14;22;1.6;2.1;;
20121917;20172018-2;14;22;1.6;2.1;;
20121917;20132014-2;7;25;3.6;2.5;Condiciónacadémicanovaría;
20121917;20142015-2;14;42;3;2.6;Condiciónacadémicanormal;
20121917;20162017-2;11;15;1.4;2.1;Condiciónacadémicanovaría;
20121917;20122013-2;17;59;3.5;3.5;Condiciónacadémicanormal;
20121917;20132014-2;13;13;1;2.2;Condiciónacadémicanormal;
